,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Needed,"$25,000.00"
194374825762,Free People Strappy Basique-Printed Bodysuit Grey/Snake Combo M,New,1,$40.00,$40.00,$10.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374878577,"Free People Womens Warrior T-Shirt, Sage S",New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
195191202538,Free People Phoenix Coated Skinny Jeans Liquid Black (27),New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
195191358006,Free People Womens Brown Faux Suede Cropped Pants Size 6,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
195191358525,"Free People Holding onto A Dream Coated Denim Miniskirt, Black, 0",New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
726895292138,Maison Jules Womens Lou Lou Mid Rise Cuffed Ankle Pants White 8,New,1,$24.99,$24.99,$6.25,MAISON JULES-MMG,,
,FBA16GTZ9YY8/1ZT74T280327613179,,,,,,,,
190383173450,"Free People Women's Galloon Lace Racerback, Dark Grey, Small",New,1,$20.00,$20.00,$5.00,FREE PEOPLE/URBAN OUTFITTERS,,
190383516479,Free People Dani Tank Top Grey XS,New,1,$20.00,$20.00,$5.00,FREE PEOPLE/URBAN OUTFITTERS,,
192648572534,"Theory Women's Demitria Knit Pull On Pants, Grey Multi, 2",New,1,$355.00,$355.00,$88.75,THEORY LLC,,
193372249891,HUDSON Jeans Nico Mid-Rise Super Skinny in High Shine Brick High Shine Brick 28 28,New,1,$195.00,$195.00,$48.75,HUDSON CLOTHING INC/SAYMEE K INC,,
193465097521,"Free People Women's Baggy BF Overalls, Duchess Blue, 24",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465133427,Free People Strapped Scoop V Top Brami Crop Active Stretch Cami Pink,New,4,$28.00,$112.00,$28.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465832085,We The Free Womens Jet Denim Low Rise Skinny Jeans Blue 25,New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465872050,Free People Womens Denim Raw Hem Ankle Jeans Blue 24,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465872067,Free People Womens Denim Raw Hem Ankle Jeans Blue 25,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
193653295487,"Joe's Jeans Icon Animal-Print Ankle Skinny Jeans, Dark Leopard (28) Black",New,1,$188.00,$188.00,$47.00,JOE'S JEANS/CENTRIC WEST LLC,,
194374700779,Free People Madagascar Tank Indigo Combo M,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
195191300555,Free People Hey Girl Sequin Cami Night MD,New,1,$68.00,$68.00,$17.00,Free People,,
,FBA16GTT80JJ/1ZT74T280379909020,,,,,,,,
193372070143,"HUDSON Women's Barbara High Rise, Super Skinny Ankle Jean, Oxblood, 31",New,1,$195.00,$195.00,$48.75,Hudson,,
193653284450,"Joe's Jeans Women's Charlie High Rise Skinny Ankle, Hawking, 28",New,1,$188.00,$188.00,$47.00,JOE'S JEANS/CENTRIC WEST LLC,,
193653284474,"Joe's Jeans Women's Charlie High Rise Skinny Ankle, Hawking, 30",New,1,$188.00,$188.00,$47.00,JOE'S JEANS/CENTRIC WEST LLC,,
,FBA16GTTCNPX/1ZT74T280329164526,,,,,,11/11/2021,,
190607358298,"Tommy Hilfiger Women's One Button Blazer, Soft Ivory/Indigo, 14",New,1,$139.00,$139.00,$34.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
190607396375,"Tommy Hilfiger Women's Scuba Crepe-Top Stitch Shortsleeve Sheath, Black, 12",New,1,$99.00,$99.00,$24.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
190607454433,"Tommy Hilfiger Women's Chiffon Midi Dress, Sunshine/Ballerina Pink, 10",New,1,$119.00,$119.00,$29.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
190607482795,Tommy Hilfiger Womens Tweed Suit Separate Peplum Jacket Red 14,New,1,$139.00,$139.00,$34.75,TOMMY HILFIGER/G-III APPAREL GROUP,,
190607492213,ommy Hilfiger Plaid One-Button Elbow-Patch Blazer Grey 8,New,1,$149.00,$149.00,$37.25,TOMMY HILFIGER/G-III APPAREL GROUP,,
190607492237,Tommy Hilfiger Womens Plaid Elbow Patch Blazer B/W 4 Black/White,New,1,$149.00,$149.00,$37.25,TOMMY HILFIGER/G-III APPAREL GROUP,,
190607499526,Tommy Hilfiger Womens Plus Cotton Striped V-Neck Sweater Green 1X,New,1,$79.50,$79.50,$19.88,TOMMY HILFIGER/G-III APPAREL GROUP,,
190607500567,Tommy Hilfiger Womens Yellow Waffle Knit Long Sleeve Collared Blouse Top Size XL,New,1,$59.50,$59.50,$14.88,TOMMY HILFIGER/G-III APPAREL GROUP,,
190607887071,"Tommy Hilfiger Women's Classic Short Sleeve Polo Shirt, White, Medium",New,1,$39.50,$39.50,$9.88,TOMMY HILFIGER/G-III APPAREL GROUP,,
192114001711,"Tommy Hilfiger Women's Asymmetrical Hem Sheath Dress, Cream, 12",New,1,$109.00,$109.00,$27.25,TOMMY HILFIGER,,
192114001759,"Tommy Hilfiger Women's Asymmetrical Hem Sheath Dress, Cream, 4",New,1,$109.00,$109.00,$27.25,TOMMY HILFIGER,,
192114001841,"Tommy Hilfiger Women's Sequin Star Dress, Black/Gold, 6",New,1,$149.00,$149.00,$37.25,TOMMY HILFIGER,,
