,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Client Spend,"$40,000.00"
735106389253,"Natori Women's Cotton Sateen Pajama Set, Gray, Large",New,1,$140.00,$140.00,$35.00,NATORI COMPANY,,
738994752673,"Bali Women's Comfort Revolution Seamless Brief, Chateau Blue, 7",New,1,$3.65,$3.65,$0.91,BALI/HANESBRANDS INC,,
738994752680,"Bali Women's Comfort Revolution Seamless Brief, Chateau Blue, 9",New,1,$3.65,$3.65,$0.91,BALI/HANESBRANDS INC,,
788545470037,"NY Collection Women's Plus Size Solid ITY V-Neck 3/4 Sleeve Be Slim Dress, Navy, 2X",New,1,$51.75,$51.75,$12.94,NOTATIONS NY COLLECTION,,
822240850746,BCX Womens Black Floral Sleeveless Sweetheart Neckline Mini Body Con Cocktail Dress Size 1,New,1,$59.00,$59.00,$14.75,BCX,,
826409619168,BCX Womens Red Embellished Color Block Long Sleeve Crew Neck Short Sheath Dress Size XL,New,1,$44.99,$44.99,$11.25,BCX/BYER CALIFORNIA,,
888815867663,Connected Apparel Womens Navy Glitter Printed Short Sleeve Jewel Neck Knee Length Sheath Party Dress Size 12,New,1,$89.00,$89.00,$22.25,CONNECTED APPAREL COMPANY LLC,,
888815867991,Connected Apparel Womens Ombre Angel Sleeve Cocktail Dress Purple 6,New,1,$89.00,$89.00,$22.25,CONNECTED APPAREL COMPANY LLC,,
,FBA16FNNCP3V/1ZT74T170328203970,,,,,,,,
190744981595,Ultra Flirt Womens Gray Tie Dye Long Sleeve Crew Neck Above The Knee Drop Waist Dress Size M,New,1,$24.98,$24.98,$6.25,Ultra Flirt,,
194374459738,"Free People Women's Intimately Fp Solid Rib Brami Crop Top, Size Medium/Large Orange",New,3,$28.00,$84.00,$21.00,FREE PEOPLE/URBAN OUTFITTERS,,
719544950091,"Wacoal Women's Plus Size Perfect Primer Underwire Bra, Monaco Blue, 38DD",New,1,$62.00,$62.00,$15.50,WACOAL INC,,
732997212127,Alfani Wide-Leg Trousers New Wine 12,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
733001905967,Alfani Womens Black Crew Neck Top Size XL,New,1,$69.50,$69.50,$17.38,Alfani,,
735106389253,"Natori Women's Cotton Sateen Pajama Set, Gray, Large",New,1,$140.00,$140.00,$35.00,NATORI COMPANY,,
882191505713,R & M Richards Womens Halter Metallic Evening Dress Gold 12,New,1,$99.00,$99.00,$24.75,R & M RICHARDS,,
,FBA16FNQ4ZJ9/1ZT74T170375803519,,,,,,,,
93488040767,"Kasper Women's Two Tone Open Jacket with Jet Bead Detail, Vanilla ICE/Black, 14",New,1,$139.00,$139.00,$34.75,Kasper,,
194374459738,"Free People Women's Intimately Fp Solid Rib Brami Crop Top, Size Medium/Large Orange",New,3,$28.00,$84.00,$21.00,FREE PEOPLE/URBAN OUTFITTERS,,
194686159975,"Taylor Dresses Women's Size Short Sleeve Round Neck Tiered Maxi Floral Print Chiffon Dress, Black/Bright Plum, 22-23 Plus",New,1,$134.00,$134.00,$33.50,TAYLOR/DANNY & NICOLE,,
732999505524,"I-N-C Inc Printed Tassel-Tie Shirt, Scarf Dance, Large",New,1,$69.50,$69.50,$17.38,INC-MMG,,
,FBA16FNP8NVV/1ZT74T170381879909,,,,,,10/11/2021,,
12214071554,"Wacoal Women's Plus Size Feather Embroidery Underwire Bra, Sand, 36B",New,1,$56.00,$56.00,$14.00,WACOAL INC,,
14671845570,"Maidenform Women's Pure Genius T-Back Bra , White,36B",New,1,$28.50,$28.50,$7.13,HANESBRANDS INC,,
90563383955,"Bali Women's Comfort Revolution Wirefree Bra with Smart Sizes Bra, -hush pink retro, 2X-Large",New,1,$31.20,$31.20,$7.80,BALI/HANESBRANDS INC,,
190744981465,Ultra Flirt Womens Pink Tie Dye Long Sleeve Crew Neck Above The Knee Drop Waist Dress Size L,New,1,$22.99,$22.99,$5.75,ULTRAFLIRT BY IKEDDI/IKEDDI ENTERPR,,
190744981472,Ultra Flirt Womens Red Tie Dye Long Sleeve Crew Neck Above The Knee Drop Waist Dress Size M,New,1,$22.99,$22.99,$5.75,ULTRAFLIRT BY IKEDDI/IKEDDI ENTERPR,,
191170348228,Trixxi Dress Junior A-Line Cage Back Fit & Flare Tank Mini Red 11,New,1,$59.00,$59.00,$14.75,Trixxi,,
194374459738,"Free People Women's Intimately Fp Solid Rib Brami Crop Top, Size Medium/Large Orange",New,2,$28.00,$56.00,$14.00,FREE PEOPLE/URBAN OUTFITTERS,,
195191363123,"Free People Women's Rubi Tee, Cashmere, Grey, X-Small",New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
195191363147,"Free People Women's Rubi Tee, Cashmere, Grey, Medium",New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
